"Enable EasYorder","تفعيل الطلب السريع"
"Form Title","عنوان النموذج"
"Success Message","رسالة النجاح"
"Send Email Notification","إرسال إشعار بالبريد الإلكتروني"
"Default Customer Group","مجموعة العملاء الافتراضية"
"Form Position","موضع النموذج"
"After Product Reviews","بعد تقييمات المنتج"
"Before Product Reviews","قبل تقييمات المنتج"
"After Product Info","بعد معلومات المنتج"
"Bottom of Page","أسفل الصفحة"
"Auto Generate Email from Phone","توليد البريد الإلكتروني تلقائياً من الهاتف"
"Email Domain","نطاق البريد الإلكتروني"
"Phone Validation","التحقق من رقم الهاتف"
"Require Email","البريد الإلكتروني مطلوب"
"Require Postcode","الرمز البريدي مطلوب"
"Require Region","المنطقة مطلوبة"
"Show Second Street Line","إظهار السطر الثاني للعنوان"
"Require City","المدينة مطلوبة"
"Auto Generate Postcode","توليد الرمز البريدي تلقائياً"
"Postcode Generation Method","طريقة توليد الرمز البريدي"
"Last 5 Digits of Phone","آخر 5 أرقام من الهاتف"
"Area Code Based (Egyptian)","حسب رمز المنطقة (مصري)"
"Hash Based","حسب التشفير"
"Sequential","تسلسلي"
"Final Total","الاجمالي"
"Final Total:","الإجمالي:"
"Click Here to Order","اتمام الطلب"
"Enabled Shipping Methods","طرق الشحن المفعلة"
"Shipping Method Priority","أولوية طرق الشحن"
"Enabled Payment Methods","طرق الدفع المفعلة"
"Default Payment Method","طريقة الدفع الافتراضية"
"Payment Method Priority","أولوية طرق الدفع"
"Fallback Shipping Price","سعر الشحن الاحتياطي"
"Integration Information","معلومات التكامل"
"EasyOrder automatically retrieves enabled shipping and payment methods from Magento's configuration. Use the settings below to customize which methods are available and their priority order.","يقوم الطلب السريع بجلب طرق الشحن والدفع المفعلة تلقائياً من إعدادات ماجنتو. استخدم الإعدادات أدناه لتخصيص الطرق المتاحة وترتيب أولويتها."
"Postcode Generation","توليد الرمز البريدي"
"Configure automatic postcode generation from phone numbers","تكوين توليد الرمز البريدي تلقائياً من أرقام الهاتف"
"Shipping & Payment Methods","طرق الشحن والدفع"
"Configure which shipping and payment methods are available for quick orders","تكوين طرق الشحن والدفع المتاحة للطلبات السريعة"
"Quick order is not enabled.","الطلب السريع غير مفعل."
"Invalid form key.","مفتاح النموذج غير صحيح."
"Product ID is required.","معرف المنتج مطلوب."
"Customer Name is required.","اسم العميل مطلوب."
"Customer Phone is required.","رقم هاتف العميل مطلوب."
"City is required.","المدينة مطلوبة."
"Country is required.","البلد مطلوب."
"Shipping Method is required.","طريقة الشحن مطلوبة."
"Payment Method is required.","طريقة الدفع مطلوبة."
"Street address is required.","عنوان الشارع مطلوب."
"Region is required.","المنطقة مطلوبة."
"Postcode is required.","الرمز البريدي مطلوب."
"Email is required.","البريد الإلكتروني مطلوب."
"Invalid product ID.","معرف المنتج غير صحيح."
"Invalid quantity.","الكمية غير صحيحة."
"Phone number must be at least 8 digits.","رقم الهاتف يجب أن يكون 8 أرقام على الأقل."
"Invalid phone number format.","تنسيق رقم الهاتف غير صحيح."
"Invalid email address.","عنوان البريد الإلكتروني غير صحيح."
"Unable to get shipping methods.","لا يمكن الحصول على طرق الشحن."
"Unable to get payment methods.","لا يمكن الحصول على طرق الدفع."
"Unable to create order: %1","لا يمكن إنشاء الطلب: %1"
"Product ID and Country are required.","معرف المنتج والبلد مطلوبان."
"Country ID is required.","معرف البلد مطلوب."
"Error getting shipping methods","خطأ في الحصول على طرق الشحن"
"Error getting regions","خطأ في الحصول على المناطق"
"Unable to get shipping methods.","لا يمكن الحصول على طرق الشحن."
"Unable to get regions.","لا يمكن الحصول على المناطق."
